Column1;Column3;Column4;Column5;Column6;Column9;Column10;Column11
;tp;tn;fp;fn;f1;acc;eval_loss
BERT;127.0;438.0;17.0;18.0;0.8788927335640139;0.9416666666666667;0.35246441427826586
RoBERTa;128.0;437.0;18.0;17.0;0.8797250859106529;0.9416666666666667;0.35767537747482203
DistilBERT;130.0;438.0;17.0;15.0;0.8904109589041096;0.9466666666666667;0.2695685645326433
CamemBERT;139.0;425.0;30.0;6.0;0.8853503184713376;0.94;0.23203151771112493
ALBERT;131.0;432.0;23.0;14.0;0.8762541806020067;0.9383333333333334;0.30726843043904456
FlauBERT;125.0;439.0;16.0;20.0;0.8741258741258742;0.94;0.3923614771675171
Random Forest;120;443;25;12;0.91;0.94;
RNN;120;443;25;12;0.88;0.90;
BILSTM;;;;;0.88;0.90;
